"MRTRUK";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"L9A1";"CLASSEMENT";"ExisteDansSlayer"
"UGLSOV";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"GP-30";"CLASSEMENT";"ExisteDansSlayer"
"GLGER";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"HK69A1";"CLASSEMENT";"ExisteDansSlayer"
"UKMRTRCAL";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"51mm";"CLASSEMENT";"ExisteDansSlayer"
"RFLGREN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"Rifle Grenade";"CLASSEMENT";"ExisteDansSlayer"
"RFLPLTHQ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD RIFLE PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"SALOBQDEUJ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD MECH LINIE PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"HEFSOSEAGJ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD PZ.GRENADIER (ZUGTR.)";"CLASSEMENT";"ExisteDansSlayer"
"EIDJSQOOIJ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD PLATOON HQ";"CLASSEMENT";"ExisteDansSlayer"
"EDCFMQAIOT";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD PARA PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"DPICM";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"M198 DPICM";"CLASSEMENT";"ExisteDansSlayer"
"ABARR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"AREA BARRAGE";"CLASSEMENT";"ExisteDansSlayer"
"HABARR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"HEAVY AREA BARRAGE";"CLASSEMENT";"ExisteDansSlayer"
"SBARR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"SMOKE BARRAGE";"CLASSEMENT";"ExisteDansSlayer"
"RBARR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"ROCKET BARRAGE";"CLASSEMENT";"ExisteDansSlayer"
"PBARR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"POINT BARRAGE";"CLASSEMENT";"ExisteDansSlayer"
"MBARR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"MRSI BARRAGE";"CLASSEMENT";"ExisteDansSlayer"
"BMISSILE";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"BALLISTIC MISSILE";"CLASSEMENT";"ExisteDansSlayer"
"TOCHKA";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"TOCHKA-U";"CLASSEMENT";"ExisteDansSlayer"
"TOCHKAMM";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"650mm";"CLASSEMENT";"ExisteDansSlayer"
"OLCXUCGJQC";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD DESANTNIKI (PLT. HQ)";"CLASSEMENT";"ExisteDansSlayer"
"ZXFAZHZEPD";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"MECH. LINIE";"CLASSEMENT";"ExisteDansSlayer"
"JRQMRSCPRI";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD MOT.-SCHÜTZEN (PLT. HQ)";"CLASSEMENT";"ExisteDansSlayer"
"FAKTOR";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"Faktoriya";"CLASSEMENT";"ExisteDansSlayer"
"HCHYGOJSST";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD JÄGER ZUGTRUPP";"CLASSEMENT";"ExisteDansSlayer"
"NXOQLGBVEA";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD JÄGER KOMPANIETRUPP";"CLASSEMENT";"ExisteDansSlayer"
"CFGDGILIWS";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"SICHERUNGSSOLDATEN";"CLASSEMENT";"ExisteDansSlayer"
"BGSGRUP";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"B.G.S.-GRUPPE";"CLASSEMENT";"ExisteDansSlayer"
"BGSZIEL";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#RECO2 B.G.S.-ZIELFERNROHRSCHÜTZE";"CLASSEMENT";"ExisteDansSlayer"
"AWDHJZIYNZ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD LINIE PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"CBYVMEVYWM";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"SONDERWAGEN 4";"CLASSEMENT";"ExisteDansSlayer"
"TVHOYVUTSY";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#RECO2 PANZERAUFKLÄRER";"CLASSEMENT";"ExisteDansSlayer"
"QYLHXYGCQZ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD PZ.GREN. KOM.TR.";"CLASSEMENT";"ExisteDansSlayer"
"METISM";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"9K115-2 METIS-M";"CLASSEMENT";"ExisteDansSlayer"
"MAANDIVXNX";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"AIRMOBILE PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"SEJXFSVZJW";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"AIRMOBILE (CARL G.)";"CLASSEMENT";"ExisteDansSlayer"
"MPNNQZQRRW";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"LUFTSTURM-JÄGER PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"RPGHE";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"TBG-7";"CLASSEMENT";"ExisteDansSlayer"
"RPGSIXT";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"RPG-16";"CLASSEMENT";"ExisteDansSlayer"
"BELPZDIV";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"16DE PANTSERDIVISIE";"CLASSEMENT";"ExisteDansSlayer"
"HSULNUGORT";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"ASSAULT GROUP";"CLASSEMENT";"ExisteDansSlayer"
"QRMYBUXGVX";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"ASSAULT GROUP (FLAM.)";"CLASSEMENT";"ExisteDansSlayer"
"BELDECK";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"16DE PANTSERDIVISIE OFFICIAL BATTLEGROUP";"CLASSEMENT";"ExisteDansSlayer"
"DSISALYWOT";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"MECH. RIFLES (AT-4)";"CLASSEMENT";"ExisteDansSlayer"
"JLPAAWRIEE";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"N.G. MECH. RIFLES (DRAGON)";"CLASSEMENT";"ExisteDansSlayer"
"PWINPJKEOO";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"GBU-16";"CLASSEMENT";"ExisteDansSlayer"
"BQRFNSFVNL";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD WACHSCÜTZEN (ZUGTR.)";"CLASSEMENT";"ExisteDansSlayer"
"GXYVXIQXVW";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#RECO1 SPW PSH";"CLASSEMENT";"ExisteDansSlayer"
"THERMORKT";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"THERMOBARIC ROCKET";"CLASSEMENT";"ExisteDansSlayer"
"BYYMDTERDZ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"GSG-9 ZUGRIFFSGRUPPE";"CLASSEMENT";"ExisteDansSlayer"
"FFJVIWDBPZ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"GSG-9 PRÄZISIONSSCHÜTZEN";"CLASSEMENT";"ExisteDansSlayer"
"MBPZZMIUQY";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD Fs-JÄGER ZUGTRUPP";"CLASSEMENT";"ExisteDansSlayer"
